0,0
1,0
2,0
3,5
4,39
5,9
6,30
7,35
8,48
9,359
10,358
11,40
12,73
13,357
14,142
15,356
16,355
17,28
19,354
21,8
22,43
23,353
24,352
27,351
28,266
30,350
31,349
33,348
34,347
36,256
59,346
141,90
142,128
165,345
462,344
463,343
464,42
465,342
467,341
468,340
469,339
470,146
471,91
472,338
473,337
474,336
475,202
476,335
477,334
482,30
489,234
490,0
491,34
495,333
496,332
497,331
498,330
499,153
500,329
501,29
503,328
505,327
506,326
507,325
508,324
509,323
510,322
511,45
512,321
513,183
514,31
515,320
516,319
517,318
518,317
519,316
520,315
521,314
522,98
523,313
524,10
525,55
526,26
527,37
529,11
530,81
532,36
